variable,importance,metric
rank_ratio,0.013167739327123274,perm_importance_auc
rank_log_diff,0.0029868077194756372,perm_importance_auc
p1_first_serve_win_pct,0.0024895243555498993,perm_importance_auc
rank_points_ratio,0.002342024200029358,perm_importance_auc
p2_first_serve_win_pct,0.00232628241769397,perm_importance_auc
rank_points_log_diff,0.0018792916910870705,perm_importance_auc
second_serve_win_pct_ratio,0.001240846854995392,perm_importance_auc
p1_entry,0.0011044084924673125,perm_importance_auc
p2_entry,0.0009929482794484245,perm_importance_auc
p1_second_serve_win_pct,0.000830284153544536,perm_importance_auc
p2_second_serve_win_pct,0.0006761952169588303,perm_importance_auc
serve2_rank_interaction,0.0006414690061093076,perm_importance_auc
surface,0.0006342564181108567,perm_importance_auc
rank_points_diff,0.0006309102832243507,perm_importance_auc
first_serve_win_pct_ratio,0.0005012964260403985,perm_importance_auc
rank_points_diff_abs,0.000435776575238922,perm_importance_auc
first_serve_pct_diff,0.00042963049586841606,perm_importance_auc
first_serve_win_pct_diff,0.0004065438899634177,perm_importance_auc
first_serve_pct_ratio,0.00033031295790160177,perm_importance_auc
p2_age,0.0003101700307970523,perm_importance_auc
p2_rank_points,0.0002995969344804728,perm_importance_auc
p1_age,0.00028335783141022477,perm_importance_auc
second_serve_win_pct_diff,0.0002521416125679021,perm_importance_auc
p1_rank_points,0.00022833058570810306,perm_importance_auc
serve_diff_grand_slam,0.00019367049264411572,perm_importance_auc
age_diff_abs,0.0001643544414650977,perm_importance_auc
p1_rank,0.00012652356938065435,perm_importance_auc
serve_diff_best_of_5,0.00010807958189635869,perm_importance_auc
best_of,0.0001000218361173033,perm_importance_auc
age_diff,6.566933449048129e-05,perm_importance_auc
p2_rank,5.5944270640839734e-05,perm_importance_auc
rank_diff_abs,5.5124985037213746e-05,perm_importance_auc
serve_rank_interaction,5.476277455984668e-05,perm_importance_auc
round,5.4084348586247445e-05,perm_importance_auc
serve_win_rank_interaction,3.7442789430008896e-05,perm_importance_auc
serve_win_diff_grand_slam,3.1980885405635814e-05,perm_importance_auc
serve_win_diff_best_of_5,2.506439009901662e-05,perm_importance_auc
p2_hand,2.0786856842081036e-05,perm_importance_auc
p1_hand,3.3260120821054785e-06,perm_importance_auc
age_diff_sq,3.5646110470022306e-07,perm_importance_auc
p2_rank_points_log,0.0,perm_importance_auc
p1_rank_log,0.0,perm_importance_auc
p1_rank_points_log,0.0,perm_importance_auc
p2_rank_log,0.0,perm_importance_auc
p1_age_sq,0.0,perm_importance_auc
best_of_is_5,0.0,perm_importance_auc
is_grand_slam,0.0,perm_importance_auc
p1_serve_missing,0.0,perm_importance_auc
p2_serve_missing,0.0,perm_importance_auc
p2_age_sq,0.0,perm_importance_auc
rank_age_interaction,-1.324080522953075e-05,perm_importance_auc
serve2_diff_best_of_5,-1.9490373307928797e-05,perm_importance_auc
serve2_diff_grand_slam,-3.913885436397368e-05,perm_importance_auc
seed_diff,-4.14558515448249e-05,perm_importance_auc
rank_diff,-6.49046679271903e-05,perm_importance_auc
ht_diff_abs,-6.530424932689183e-05,perm_importance_auc
ht_diff,-0.00016953462622930625,perm_importance_auc
draw_size,-0.00017278589646696485,perm_importance_auc
tourney_level,-0.00018664763394347084,perm_importance_auc
p2_first_serve_pct,-0.0002453516034597536,perm_importance_auc
p1_first_serve_pct,-0.0004608812109467175,perm_importance_auc
