variable,abs_coef
p1_entry,1.5692580104581004
p2_entry,1.569246207682494
rank_points_diff,0.7548375236342568
rank_diff,0.48234795660850277
p1_style_cluster,0.21850651285385805
p2_style_cluster,0.21849287920509733
age_diff,0.11288102101108022
p2_hand,0.07573596901759566
p1_hand,0.07572162728253794
ht_diff,0.06602152685865625
seed_diff,0.026841841002394732
draw_size,0.0001262649545638824
tourney_level,0.00011543717954978345
best_of,9.022929086757291e-05
round,8.789587675206919e-05
surface,2.0100030920574986e-05
